param_feature_selector__feature_set,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc,model
basic,0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,0.7735805079341062,0.2282572556423897,1,0.64,0.6739130434782609,0.717391304347826,1.0,0.8385507246376811,0.16299548407943013,1,DummyClassifier
cleaned,0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,0.7735805079341062,0.2282572556423897,1,0.64,0.6739130434782609,0.717391304347826,1.0,0.8385507246376811,0.16299548407943013,1,DummyClassifier
cleaned+speed,0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,0.7735805079341062,0.2282572556423897,1,0.64,0.6739130434782609,0.717391304347826,1.0,0.8385507246376811,0.16299548407943013,1,DummyClassifier
basic,0.4995121951219512,0.5320366132723112,0.6952604778691736,1.0,0.7878015477105728,0.2206712681696655,285,0.64,0.6521739130434783,0.7391304347826086,1.0,0.8385507246376811,0.16443879597694774,219,LogisticRegression_PCA
basic,0.4995121951219512,0.5774936061381074,0.7289759725400459,0.95,0.7926636289666841,0.20290535339859544,282,0.64,0.6739130434782609,0.782608695652174,0.9047619047619048,0.8335472739820565,0.14492694551130064,240,LogisticRegression_PCA
basic,0.4995121951219512,0.8323881537492123,0.882191700930219,0.95,0.8606820083002305,0.17248359936402555,210,0.64,0.8478260869565217,0.8913043478260869,0.9047619047619048,0.8806487232574188,0.12122539326708175,185,LogisticRegression_PCA
basic,0.4995121951219512,0.8323881537492123,0.9147903726708073,1.0,0.8744484535903285,0.17854192298993626,195,0.64,0.8478260869565217,0.9130434782608695,1.0,0.9001449275362319,0.12941671936259863,139,LogisticRegression_PCA
basic,0.4995121951219512,0.8590153452685422,0.9354886659234486,1.0,0.882336034385657,0.17863257219834092,185,0.64,0.8695652173913043,0.9347826086956522,1.0,0.9073913043478261,0.12871694888419596,128,LogisticRegression_PCA
cleaned,0.4995121951219512,0.5320366132723112,0.6788815397636437,1.0,0.7850717246929845,0.2218970701681205,286,0.64,0.6521739130434783,0.717391304347826,1.0,0.8349275362318841,0.1668118460316159,226,LogisticRegression_PCA
cleaned,0.4995121951219512,0.6733254994124559,0.8152456239412761,0.975609756097561,0.8232171384451341,0.1848491000774674,231,0.64,0.7391304347826086,0.8260869565217391,0.9523809523809523,0.8516632160110421,0.12936448201093936,203,LogisticRegression_PCA
cleaned,0.4995121951219512,0.804404291360813,0.882191700930219,0.975609756097561,0.860286323918424,0.17611546198052563,211,0.64,0.8260869565217391,0.8913043478260869,0.9523809523809523,0.8849620427881297,0.12551605182382602,177,LogisticRegression_PCA
cleaned,0.5435737491877842,0.804404291360813,0.9565217391304348,1.0,0.8840832966131721,0.16725871680941087,177,0.66,0.8260869565217391,0.9565217391304348,1.0,0.9071014492753623,0.12646162889699317,129,LogisticRegression_PCA
cleaned,0.5435737491877842,0.9089895611634743,0.9565217391304348,1.0,0.9015141749136156,0.1634530692677459,144,0.66,0.9130434782608695,0.9565217391304348,1.0,0.9215942028985508,0.12122086022802073,92,LogisticRegression_PCA
cleaned+speed,0.4995121951219512,0.5320366132723112,0.6788815397636437,1.0,0.7850717246929845,0.2218970701681205,286,0.64,0.6521739130434783,0.717391304347826,1.0,0.8349275362318841,0.1668118460316159,226,LogisticRegression_PCA
cleaned+speed,0.4995121951219512,0.6733254994124559,0.8152456239412761,0.975609756097561,0.8232171384451341,0.1848491000774674,231,0.64,0.7391304347826086,0.8260869565217391,0.9523809523809523,0.8516632160110421,0.12936448201093936,203,LogisticRegression_PCA
cleaned+speed,0.4995121951219512,0.804404291360813,0.882191700930219,0.975609756097561,0.860286323918424,0.17611546198052563,211,0.64,0.8260869565217391,0.8913043478260869,0.9523809523809523,0.8849620427881297,0.12551605182382602,177,LogisticRegression_PCA
cleaned+speed,0.5435737491877842,0.804404291360813,0.9565217391304348,1.0,0.8840832966131721,0.16725871680941087,177,0.66,0.8260869565217391,0.9565217391304348,1.0,0.9071014492753623,0.12646162889699317,129,LogisticRegression_PCA
cleaned+speed,0.5435737491877842,0.9089895611634743,0.9565217391304348,1.0,0.9015141749136156,0.1634530692677459,144,0.66,0.9130434782608695,0.9565217391304348,1.0,0.9215942028985508,0.12122086022802073,92,LogisticRegression_PCA
basic,0.4995121951219512,0.604087646155293,0.7108695652173914,1.0,0.802411567749106,0.20679454849354215,269,0.64,0.6739130434782609,0.7391304347826086,1.0,0.8421739130434783,0.16048426243003602,210,LogisticRegression_PCA
basic,0.4995121951219512,0.6188797493145319,0.8072463768115942,0.9230769230769231,0.8038457031139958,0.1864627846714732,267,0.64,0.6956521739130435,0.8260869565217391,0.8571428571428571,0.8281469979296067,0.1279197556265868,251,LogisticRegression_PCA
basic,0.5435737491877842,0.8590153452685422,0.8899415963659961,0.9230769230769231,0.8692679356498743,0.15475053655187032,203,0.66,0.8695652173913043,0.8913043478260869,0.8571428571428571,0.8796687370600415,0.1139871802270204,188,LogisticRegression_PCA
basic,0.5435737491877842,0.8844905905256328,0.9366031270079245,0.975609756097561,0.8900462038031504,0.16007413377443616,169,0.66,0.8913043478260869,0.9347826086956522,0.9523809523809523,0.9064113181504486,0.11646356970041638,132,LogisticRegression_PCA
