param_feature_selector__feature_set,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,split4_test_weighted_f1,split5_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,split4_test_acc,split5_test_acc,mean_test_acc,std_test_acc,rank_test_acc,model
basic,0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,1,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,1,DummyClassifier
cleaned,0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,1,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,1,DummyClassifier
cleaned+speed,0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,1,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,1,DummyClassifier
invariant,0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,1,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,1,DummyClassifier
cleaned_invariant,0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,1,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,1,DummyClassifier
cleaned_invariant+speed,0.4995121951219512,0.5426312817617166,0.5993395707209687,1.0,1.0,1.0,0.7735805079341062,0.2282572556423897,1,0.64,0.6739130434782609,0.717391304347826,1.0,1.0,1.0,0.8385507246376811,0.16299548407943013,1,DummyClassifier
basic,0.5435737491877842,0.6733254994124559,0.6747711670480548,1.0,0.9743589743589742,1.0,0.8110048983345449,0.1858124130328805,1256,0.66,0.7391304347826086,0.7391304347826086,1.0,0.95,1.0,0.8480434782608696,0.13884112810396673,1210,LogisticRegression_PCA
basic,0.5435737491877842,0.7844990548204158,0.796840318579449,1.0,1.0,1.0,0.8541521870979416,0.16753603034810474,1134,0.66,0.8043478260869565,0.8260869565217391,1.0,1.0,1.0,0.8817391304347826,0.12923603743205886,1007,LogisticRegression_PCA
basic,0.5840000000000001,0.8323881537492123,0.9553495311167945,1.0,1.0,1.0,0.8952896141443345,0.15130422220305773,915,0.68,0.8478260869565217,0.9565217391304348,1.0,1.0,1.0,0.9140579710144928,0.11770801792453181,737,LogisticRegression_PCA
basic,0.5435737491877842,0.8590153452685422,0.9319470699432892,1.0,1.0,1.0,0.8890893607332693,0.16280140108642513,947,0.66,0.8695652173913043,0.9347826086956522,1.0,1.0,1.0,0.9107246376811595,0.12182364216341625,799,LogisticRegression_PCA
basic,0.5435737491877842,0.8590153452685422,0.9076228119706381,1.0,1.0,1.0,0.8850353177378274,0.16198450088542543,959,0.66,0.8695652173913043,0.9130434782608695,1.0,1.0,1.0,0.9071014492753623,0.12137670343927691,843,LogisticRegression_PCA
cleaned,0.5435737491877842,0.6338277919863597,0.711918158567775,1.0,1.0,1.0,0.8148866166236531,0.1913967813578343,1254,0.66,0.717391304347826,0.7608695652173914,1.0,1.0,1.0,0.8563768115942029,0.14656359155127852,1153,LogisticRegression_PCA
cleaned,0.5840000000000001,0.6920289855072465,0.796840318579449,1.0,1.0,1.0,0.8454782173477827,0.16628996463932152,1196,0.68,0.7391304347826086,0.8260869565217391,1.0,1.0,1.0,0.8742028985507245,0.1327586860625615,1046,LogisticRegression_PCA
cleaned,0.5840000000000001,0.7096642738472149,0.9319470699432892,1.0,1.0,1.0,0.870935223965084,0.164334890134095,1030,0.68,0.7608695652173914,0.9347826086956522,1.0,1.0,1.0,0.8959420289855072,0.1283668603248425,939,LogisticRegression_PCA
cleaned,0.5840000000000001,0.7096642738472149,0.9553495311167945,1.0,1.0,1.0,0.8748356341606683,0.16600591726219813,1006,0.68,0.7608695652173914,0.9565217391304348,1.0,1.0,1.0,0.8995652173913044,0.12971176421950945,915,LogisticRegression_PCA
cleaned,0.5840000000000001,0.7433574879227053,0.9553495311167945,1.0,1.0,1.0,0.8804511698399167,0.16081226457216485,982,0.68,0.782608695652174,0.9565217391304348,1.0,1.0,1.0,0.9031884057971015,0.12603863808481566,888,LogisticRegression_PCA
cleaned+speed,0.5435737491877842,0.6338277919863597,0.6339544513457558,1.0,1.0,1.0,0.8018926654199833,0.20038182550457467,1257,0.66,0.717391304347826,0.717391304347826,1.0,1.0,1.0,0.8491304347826087,0.15207760927847444,1199,LogisticRegression_PCA
cleaned+speed,0.5840000000000001,0.7247834835097542,0.796840318579449,1.0,1.0,1.0,0.8509373003482006,0.16163531820069008,1156,0.68,0.7608695652173914,0.8260869565217391,1.0,1.0,1.0,0.8778260869565218,0.1292738187988701,1027,LogisticRegression_PCA
cleaned+speed,0.5840000000000001,0.7096642738472149,0.9076228119706381,1.0,1.0,1.0,0.8668811809696422,0.16307496173470556,1055,0.68,0.7608695652173914,0.9130434782608695,1.0,1.0,1.0,0.8923188405797102,0.127523467740713,954,LogisticRegression_PCA
cleaned+speed,0.5840000000000001,0.7433574879227053,0.9319470699432892,1.0,1.0,1.0,0.8765507596443324,0.15922431275211477,997,0.68,0.782608695652174,0.9347826086956522,1.0,1.0,1.0,0.8995652173913044,0.12475937772946356,915,LogisticRegression_PCA
cleaned+speed,0.5840000000000001,0.7433574879227053,0.9076228119706381,1.0,1.0,1.0,0.8724967166488907,0.15806770716040042,1020,0.68,0.782608695652174,0.9130434782608695,1.0,1.0,1.0,0.8959420289855072,0.12399734398304592,939,LogisticRegression_PCA
invariant,0.5435737491877842,0.6338277919863597,0.577639751552795,1.0,1.0,1.0,0.7925068821211565,0.20915497604167552,1260,0.66,0.717391304347826,0.6739130434782609,1.0,1.0,1.0,0.8418840579710145,0.15905788848170582,1232,LogisticRegression_PCA
invariant,0.6213381555153706,0.8323881537492123,0.6747711670480548,1.0,1.0,1.0,0.8547495793854396,0.15846461704070477,1132,0.7,0.8478260869565217,0.7391304347826086,1.0,1.0,1.0,0.881159420289855,0.1268012418134611,1010,LogisticRegression_PCA
invariant,0.5840000000000001,0.8323881537492123,0.7289759725400459,1.0,1.0,1.0,0.8575606877148765,0.1596193432089074,1110,0.68,0.8478260869565217,0.782608695652174,1.0,1.0,1.0,0.8850724637681159,0.12487717132648592,995,LogisticRegression_PCA
invariant,0.5840000000000001,0.8323881537492123,0.7642966751918159,1.0,1.0,1.0,0.8634474714901713,0.15536313916899372,1077,0.68,0.8478260869565217,0.8043478260869565,1.0,1.0,1.0,0.888695652173913,0.12213703089694009,972,LogisticRegression_PCA
invariant,0.5840000000000001,0.804404291360813,0.7642966751918159,1.0,1.0,1.0,0.8587834944254382,0.15664031509776172,1103,0.68,0.8260869565217391,0.8043478260869565,1.0,1.0,1.0,0.885072463768116,0.12360925554800033,994,LogisticRegression_PCA
cleaned_invariant,0.5435737491877842,0.6338277919863597,0.6339544513457558,1.0,0.9743589743589742,1.0,0.797619161146479,0.19634399686403356,1258,0.66,0.717391304347826,0.717391304347826,1.0,0.95,1.0,0.8407971014492753,0.14477682380980517,1239,LogisticRegression_PCA
