param_feature_selector__feature_set,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc,model
basic,0.45,0.8510072468585864,0.5952380952380952,0.4961240310077519,0.5980923432761084,0.15516360239265395,330,0.6,0.898876404494382,0.7142857142857143,0.5925925925925926,0.7014386778431723,0.12377800479841035,212,LogisticRegression_PCA
basic,0.6070175438596492,0.8510072468585864,0.5952380952380952,0.4961240310077519,0.6373467292410208,0.130659542158601,276,0.68,0.898876404494382,0.7142857142857143,0.5925925925925926,0.7214386778431723,0.11163981081204144,182,LogisticRegression_PCA
basic,0.5342657342657343,0.8510072468585864,0.653061224489796,0.4961240310077519,0.6336145591554672,0.13821323000776717,283,0.64,0.898876404494382,0.7301587301587301,0.5925925925925926,0.7154069318114262,0.11688480466255355,194,LogisticRegression_PCA
basic,0.45,0.8510072468585864,0.6308762560607124,0.4961240310077519,0.6070018834817626,0.1557659242330971,318,0.6,0.898876404494382,0.7301587301587301,0.5925925925925926,0.7054069318114262,0.12437924343407072,206,LogisticRegression_PCA
basic,0.45,0.8510072468585864,0.6308762560607124,0.4961240310077519,0.6070018834817626,0.1557659242330971,318,0.6,0.898876404494382,0.7301587301587301,0.5925925925925926,0.7054069318114262,0.12437924343407072,206,LogisticRegression_PCA
cleaned,0.45,0.8510072468585864,0.5952380952380952,0.4961240310077519,0.5980923432761084,0.15516360239265395,330,0.6,0.898876404494382,0.7142857142857143,0.5925925925925926,0.7014386778431723,0.12377800479841035,212,LogisticRegression_PCA
cleaned,0.31029411764705883,0.8510072468585864,0.5952380952380952,0.5151515151515151,0.5679227437238139,0.19367516353590364,403,0.44,0.898876404494382,0.7142857142857143,0.6296296296296297,0.6706979371024315,0.16497988617034273,301,LogisticRegression_PCA
cleaned,0.6711018711018711,0.8510072468585864,0.5952380952380952,0.4961240310077519,0.6533678110515762,0.12988505850848225,237,0.72,0.898876404494382,0.7142857142857143,0.5925925925925926,0.7314386778431722,0.10924593265327986,158,LogisticRegression_PCA
cleaned,0.6070175438596492,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6466490548224161,0.12126053234199517,257,0.68,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7399571963616908,0.09338188641812498,126,LogisticRegression_PCA
cleaned,0.6070175438596492,0.8510072468585864,0.5952380952380952,0.5151515151515151,0.6421036002769616,0.12568310585582482,266,0.68,0.898876404494382,0.7142857142857143,0.6296296296296297,0.7306979371024316,0.1016592857956786,162,LogisticRegression_PCA
basic,0.45,0.8510072468585864,0.5952380952380952,0.4761904761904762,0.5931089545717895,0.15863965918872178,337,0.6,0.898876404494382,0.7142857142857143,0.5555555555555556,0.692179418583913,0.1326418650477553,228,LogisticRegression_PCA
basic,0.6245989304812835,0.8762974852862493,0.663611859838275,0.4961240310077519,0.66515807665339,0.1367477546340477,209,0.64,0.9101123595505618,0.746031746031746,0.5925925925925926,0.7221841745437251,0.12189537116300878,180,LogisticRegression_PCA
basic,0.6070175438596492,0.8615811560850142,0.7417601950129501,0.4761904761904762,0.6716373427870225,0.14437023818147554,203,0.68,0.8876404494382022,0.7619047619047619,0.5555555555555556,0.7212751917246298,0.1209284914846796,184,LogisticRegression_PCA
basic,0.5342657342657343,0.8510072468585864,0.7352941176470589,0.4961240310077519,0.6541727824447829,0.14550050295435923,233,0.64,0.898876404494382,0.7777777777777778,0.5925925925925926,0.7273116937161881,0.12016014698315719,173,LogisticRegression_PCA
basic,0.5342657342657343,0.8453718566078117,0.7096424048724598,0.4961240310077519,0.6463510066884394,0.14030890233958376,258,0.64,0.8876404494382022,0.7619047619047619,0.5925925925925926,0.7205344509838891,0.11455439130495783,189,LogisticRegression_PCA
cleaned,0.45,0.8510072468585864,0.5952380952380952,0.4761904761904762,0.5931089545717895,0.15863965918872178,337,0.6,0.898876404494382,0.7142857142857143,0.5555555555555556,0.692179418583913,0.1326418650477553,228,LogisticRegression_PCA
cleaned,0.31029411764705883,0.8453718566078117,0.6308762560607124,0.5151515151515151,0.5754234363667745,0.19356744621345748,389,0.44,0.8876404494382022,0.7301587301587301,0.6296296296296297,0.6718572023066405,0.16240567112033316,300,LogisticRegression_PCA
cleaned,0.7809523809523808,0.833897387302017,0.6308762560607124,0.4961240310077519,0.6854625138307155,0.13226861589242317,183,0.8,0.8651685393258427,0.7301587301587301,0.5925925925925926,0.7469799655192914,0.10111636602576402,111,LogisticRegression_PCA
cleaned,0.9595925297113752,0.8453718566078117,0.663611859838275,0.5333333333333333,0.7504773948726988,0.16388354335108138,91,0.96,0.8876404494382022,0.746031746031746,0.6666666666666666,0.8150847155341537,0.1151748714139769,10,LogisticRegression_PCA
cleaned,0.8748663101604278,0.8453718566078117,0.6308762560607124,0.5151515151515151,0.7165664844951167,0.14963327154712455,126,0.88,0.8876404494382022,0.7301587301587301,0.6296296296296297,0.7818572023066406,0.10801396902523723,70,LogisticRegression_PCA
basic,0.45,0.8510072468585864,0.5952380952380952,0.4552845528455285,0.5878824737355526,0.16269798445780537,352,0.6,0.898876404494382,0.7142857142857143,0.5185185185185185,0.6829201593246538,0.14276252150687044,246,LogisticRegression_PCA
