param_feature_selector__feature_set,split0_test_weighted_f1,split1_test_weighted_f1,split2_test_weighted_f1,split3_test_weighted_f1,mean_test_weighted_f1,std_test_weighted_f1,rank_test_weighted_f1,split0_test_acc,split1_test_acc,split2_test_acc,split3_test_acc,mean_test_acc,std_test_acc,rank_test_acc,model
basic,0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,1,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,1,DummyClassifier
cleaned,0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,1,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,1,DummyClassifier
cleaned+speed,0.45,0.8510072468585864,0.5952380952380952,0.5333333333333333,0.6073946688575037,0.14979405332562828,1,0.6,0.898876404494382,0.7142857142857143,0.6666666666666666,0.7199571963616908,0.1109885785361504,1,DummyClassifier
basic,0.45,0.8510072468585864,0.5952380952380952,0.4552845528455285,0.5878824737355526,0.16269798445780537,295,0.6,0.898876404494382,0.7142857142857143,0.5185185185185185,0.6829201593246538,0.14276252150687044,212,LogisticRegression_PCA
basic,0.5555178268251274,0.8979711669612767,0.6854879773691654,0.4961240310077519,0.6587752505408303,0.1541474707664906,216,0.56,0.9213483146067416,0.7301587301587301,0.5925925925925926,0.7010249093395161,0.1423347944051243,180,LogisticRegression_PCA
basic,0.6070175438596492,0.8545087870930569,0.7222454964390448,0.4961240310077519,0.6699739645998757,0.13320353230658846,200,0.68,0.8764044943820225,0.7301587301587301,0.5925925925925926,0.7197889542833363,0.10295391561571737,164,LogisticRegression_PCA
basic,0.6711018711018711,0.833897387302017,0.7625000000000001,0.4961240310077519,0.6909058223529101,0.1263966540739311,170,0.72,0.8651685393258427,0.7777777777777778,0.5925925925925926,0.7388847274240532,0.0990180440092751,127,LogisticRegression_PCA
basic,0.5342657342657343,0.833897387302017,0.7625000000000001,0.4961240310077519,0.6566967881438759,0.14436701949292746,217,0.64,0.8651685393258427,0.7777777777777778,0.5925925925925926,0.7188847274240533,0.10844335911610664,165,LogisticRegression_PCA
cleaned,0.45,0.8510072468585864,0.5952380952380952,0.4552845528455285,0.5878824737355526,0.16269798445780537,295,0.6,0.898876404494382,0.7142857142857143,0.5185185185185185,0.6829201593246538,0.14276252150687044,212,LogisticRegression_PCA
cleaned,0.22857142857142854,0.8453718566078117,0.6618566618566618,0.4961240310077519,0.5579809945109134,0.22678216858341965,402,0.4,0.8876404494382022,0.6984126984126984,0.5925925925925926,0.6446614351108733,0.17642164117656314,327,LogisticRegression_PCA
cleaned,0.9180555555555556,0.797752808988764,0.653061224489796,0.4961240310077519,0.7162484050104669,0.15796871026505896,131,0.92,0.797752808988764,0.7301587301587301,0.5925925925925926,0.7601260329350217,0.11825919889161736,104,LogisticRegression_PCA
cleaned,0.9595925297113752,0.8280558392917944,0.7594908062234795,0.4961240310077519,0.7608158015586003,0.16889116269025492,88,0.96,0.8539325842696629,0.7936507936507936,0.5925925925925926,0.8000439926282622,0.1337599164298913,57,LogisticRegression_PCA
cleaned,0.9595925297113752,0.8280558392917944,0.7594908062234795,0.4961240310077519,0.7608158015586003,0.16889116269025492,88,0.96,0.8539325842696629,0.7936507936507936,0.5925925925925926,0.8000439926282622,0.1337599164298913,57,LogisticRegression_PCA
cleaned+speed,0.45,0.8510072468585864,0.5952380952380952,0.4552845528455285,0.5878824737355526,0.16269798445780537,295,0.6,0.898876404494382,0.7142857142857143,0.5185185185185185,0.6829201593246538,0.14276252150687044,212,LogisticRegression_PCA
cleaned+speed,0.22857142857142854,0.8453718566078117,0.6618566618566618,0.4961240310077519,0.5579809945109134,0.22678216858341965,402,0.4,0.8876404494382022,0.6984126984126984,0.5925925925925926,0.6446614351108733,0.17642164117656314,327,LogisticRegression_PCA
cleaned+speed,0.9180555555555556,0.797752808988764,0.653061224489796,0.4961240310077519,0.7162484050104669,0.15796871026505896,131,0.92,0.797752808988764,0.7301587301587301,0.5925925925925926,0.7601260329350217,0.11825919889161736,104,LogisticRegression_PCA
cleaned+speed,0.9595925297113752,0.8280558392917944,0.7594908062234795,0.4961240310077519,0.7608158015586003,0.16889116269025492,88,0.96,0.8539325842696629,0.7936507936507936,0.5925925925925926,0.8000439926282622,0.1337599164298913,57,LogisticRegression_PCA
cleaned+speed,0.9595925297113752,0.8280558392917944,0.7594908062234795,0.4961240310077519,0.7608158015586003,0.16889116269025492,88,0.96,0.8539325842696629,0.7936507936507936,0.5925925925925926,0.8000439926282622,0.1337599164298913,57,LogisticRegression_PCA
